Frames,Timestamp,gne_ratio,pid,qid
1023,5.601204546827536,0.62389295549301,40,13
1024,5.605515335156367,0.65671754692858,40,13
1025,5.609826123485198,0.6445570559781205,40,13
1026,5.614136911814029,0.5939743605460378,40,13
1027,5.61844770014286,0.5236171904142417,40,13
1028,5.622758488471691,0.4651080258592405,40,13
1029,5.627069276800523,0.4369810158514463,40,13
1030,5.6313800651293535,0.4515107728385054,40,13
1031,5.635690853458184,0.5321216034819773,40,13
1032,5.640001641787015,0.6398456576396021,40,13
1033,5.644312430115846,0.7094969358317185,40,13
1034,5.648623218444677,0.0,40,13
1035,5.652934006773508,0.0,40,13
1036,5.657244795102339,0.0,40,13
1037,5.66155558343117,0.0,40,13
1038,5.665866371760002,0.0,40,13
1039,5.670177160088833,0.0,40,13
1040,5.674487948417664,0.0,40,13
1041,5.6787987367464945,0.0,40,13
1042,5.683109525075325,0.0,40,13
1043,5.687420313404156,0.0,40,13
1044,5.691731101732987,0.0,40,13
1045,5.696041890061818,0.0,40,13
1046,5.700352678390649,0.0,40,13
1047,5.70466346671948,0.0,40,13
1048,5.708974255048312,0.0,40,13
1049,5.713285043377143,0.0,40,13
1050,5.717595831705974,0.0,40,13
1051,5.7219066200348045,0.0,40,13
1052,5.7262174083636355,0.0,40,13
1053,5.730528196692466,0.0,40,13
1054,5.734838985021297,0.0,40,13
1055,5.739149773350128,0.0,40,13
1056,5.743460561678959,0.0,40,13
1057,5.747771350007791,0.0,40,13
1058,5.752082138336622,0.0,40,13
1059,5.756392926665453,0.0,40,13
1060,5.760703714994284,0.0,40,13
1061,5.765014503323115,0.0,40,13
1062,5.7693252916519455,0.0,40,13
1063,5.773636079980776,0.0,40,13
1064,5.777946868309607,0.0,40,13
1065,5.782257656638438,0.0,40,13
1066,5.78656844496727,0.0,40,13
1067,5.790879233296101,0.0,40,13
1068,5.795190021624932,0.0,40,13
1069,5.799500809953763,0.0,40,13
1070,5.803811598282594,0.0,40,13
1071,5.808122386611425,0.4554340007653696,40,13
1072,5.812433174940256,0.4821055772869037,40,13
1073,5.8167439632690865,0.530877674914785,40,13
1074,5.821054751597917,0.5733951592473661,40,13
1075,5.825365539926748,0.5886514498684372,40,13
1076,5.82967632825558,0.5736143125121211,40,13
1077,5.833987116584411,0.5333227157066496,40,13
1078,5.838297904913242,0.4801721477545195,40,13
1079,5.842608693242073,0.43590525476112885,40,13
1080,5.846919481570904,0.4161102684501753,40,13
1081,5.851230269899735,0.4326748632326798,40,13
1082,5.855541058228566,0.49751796911475415,40,13
1083,5.8598518465573965,0.5772819704894055,40,13
1084,5.8641626348862275,0.622272844050246,40,13
1085,5.868473423215059,0.6374910414813233,40,13
1086,5.87278421154389,0.0,40,13
1087,5.877094999872721,0.0,40,13
1088,5.881405788201552,0.0,40,13
1089,5.885716576530383,0.0,40,13
1090,5.890027364859214,0.0,40,13
1091,5.894338153188045,0.0,40,13
1092,5.898648941516876,0.0,40,13
1093,5.902959729845707,0.0,40,13
1094,5.907270518174538,0.0,40,13
1095,5.911581306503369,0.0,40,13
1096,5.9158920948322,0.0,40,13
1097,5.920202883161031,0.0,40,13
1098,5.924513671489862,0.0,40,13
1099,5.928824459818693,0.0,40,13
1100,5.933135248147524,0.0,40,13
1101,5.937446036476355,0.0,40,13
1102,5.941756824805186,0.0,40,13
1103,5.946067613134017,0.0,40,13
1104,5.9503784014628485,0.0,40,13
1105,5.954689189791679,0.0,40,13
1106,5.95899997812051,0.0,40,13
1107,5.963310766449341,0.0,40,13
1108,5.967621554778172,0.0,40,13
1109,5.971932343107003,0.0,40,13
1110,5.976243131435834,0.0,40,13
1111,5.980553919764665,0.0,40,13
1112,5.984864708093496,0.0,40,13
1113,5.989175496422328,0.0,40,13
1114,5.9934862847511585,0.0,40,13
1115,5.997797073079989,0.0,40,13
1116,6.00210786140882,0.0,40,13
1117,6.006418649737651,0.0,40,13
1118,6.010729438066482,0.0,40,13
1119,6.015040226395313,0.0,40,13
1120,6.019351014724144,0.0,40,13
1121,6.023661803052975,0.0,40,13
1122,6.027972591381807,0.4856643350069897,40,13
1123,6.032283379710638,0.49808994207963747,40,13
1124,6.036594168039469,0.5203003532400157,40,13
1125,6.0409049563682995,0.5356772471842918,40,13
1126,6.04521574469713,0.531234608696519,40,13
1127,6.049526533025961,0.5088504414771485,40,13
1128,6.053837321354792,0.47400553063344986,40,13
1129,6.058148109683623,0.43422594853538765,40,13
1130,6.062458898012454,0.4023474343587102,40,13
1131,6.066769686341285,0.39027959716782196,40,13
1132,6.071080474670117,0.4108299422276586,40,13
1133,6.075391262998948,0.47174592971798496,40,13
1134,6.079702051327779,0.5399502818735878,40,13
1135,6.0840128396566096,0.5743424385058329,40,13
1136,6.0883236279854405,0.5818133557374943,40,13
1137,6.092634416314271,0.5853600349405408,40,13
1138,6.096945204643102,0.0,40,13
1139,6.101255992971933,0.0,40,13
1140,6.105566781300764,0.0,40,13
1141,6.109877569629596,0.0,40,13
1142,6.114188357958427,0.0,40,13
1143,6.118499146287258,0.0,40,13
1144,6.122809934616089,0.0,40,13
1145,6.12712072294492,0.0,40,13
1146,6.1314315112737505,0.0,40,13
1147,6.135742299602581,0.0,40,13
1148,6.140053087931412,0.0,40,13
1149,6.144363876260243,0.0,40,13
1150,6.148674664589075,0.0,40,13
1151,6.152985452917906,0.0,40,13
1152,6.157296241246737,0.0,40,13
1153,6.161607029575568,0.0,40,13
1154,6.165917817904399,0.0,40,13
1155,6.17022860623323,0.0,40,13
1156,6.174539394562061,0.0,40,13
1157,6.1788501828908915,0.0,40,13
1158,6.183160971219722,0.0,40,13
1159,6.187471759548554,0.0,40,13
1160,6.191782547877385,0.0,40,13
1161,6.196093336206216,0.0,40,13
1162,6.200404124535047,0.0,40,13
1163,6.204714912863878,0.0,40,13
1164,6.209025701192709,0.0,40,13
1165,6.21333648952154,0.0,40,13
1166,6.217647277850371,0.0,40,13
1167,6.2219580661792016,0.0,40,13
1168,6.2262688545080325,0.0,40,13
1169,6.230579642836864,0.0,40,13
1170,6.234890431165695,0.0,40,13
1171,6.239201219494526,0.0,40,13
1172,6.243512007823357,0.0,40,13
1173,6.247822796152188,0.5099016453357939,40,13
1174,6.252133584481019,0.5236014017114218,40,13
1175,6.25644437280985,0.5412521271056846,40,13
1176,6.260755161138681,0.551814420676146,40,13
1177,6.265065949467512,0.5437366340326548,40,13
1178,6.269376737796343,0.5198178495013447,40,13
1179,6.273687526125174,0.485519503507635,40,13
1180,6.277998314454005,0.4474449692061124,40,13
1181,6.282309102782836,0.41558794774689867,40,13
1182,6.286619891111667,0.40291868222488314,40,13
1183,6.290930679440498,0.4249859037701419,40,13
