Frames,Timestamp,F1_score,F2_score,F_diff,pid,qid
531,6.528913258437084,312.14675054447383,2575.4506133844166,2263.3038628399427,40,13
532,6.5389653209079,325.70926497407015,2940.497645783068,2614.7883808089978,40,13
533,6.549017383378717,281.19046668447993,894.7330538578196,613.5425871733397,40,13
534,6.559069445849534,282.3890123063117,1114.0487411069585,831.6597288006467,40,13
535,6.569121508320351,290.6549721544629,1132.1277360768386,841.4727639223756,40,13
536,6.579173570791168,288.8414697969365,1193.1795383497374,904.3380685528009,40,13
537,6.589225633261984,275.70181920142863,1250.1088984287856,974.4070792273569,40,13
538,6.599277695732801,281.910166941179,1324.9157189937225,1043.0055520525434,40,13
539,6.609329758203618,292.09317444635826,1356.3928234846856,1064.2996490383273,40,13
540,6.619381820674435,277.72341159157037,1358.7872919455044,1081.063880353934,40,13
541,6.629433883145251,267.2918256280362,1342.4747290104845,1075.1829033824483,40,13
542,6.639485945616068,251.34066011215936,1262.6408038446764,1011.300143732517,40,13
543,6.649538008086885,233.33475165585074,1149.1389478708952,915.8041962150445,40,13
544,6.659590070557702,251.01138362115395,1336.4009982489274,1085.3896146277734,40,13
545,6.669642133028518,253.25593107437055,1360.3101327406687,1107.054201666298,40,13
546,6.6796941954993345,253.76798345481336,1325.4731140190142,1071.7051305642008,40,13
547,6.689746257970151,258.65168203919,1360.1923703120174,1101.5406882728273,40,13
548,6.699798320440968,285.0380033097086,1339.9908845978637,1054.9528812881551,40,13
549,6.709850382911785,284.3750085030672,1459.4211362519643,1175.046127748897,40,13
550,6.719902445382601,246.8597246757685,1512.546569953918,1265.6868452781493,40,13
551,6.729954507853418,237.56743598224926,1459.4091646087754,1221.8417286265262,40,13
552,6.740006570324235,218.9632221981194,1547.6286966944385,1328.6654744963191,40,13
553,6.750058632795052,183.5408578592236,1540.8207746408652,1357.2799167816415,40,13
554,6.760110695265868,161.63634587276792,1511.0473998599728,1349.411053987205,40,13
555,6.770162757736685,148.73494626640797,1556.1977379737134,1407.4627917073053,40,13
556,6.780214820207502,516.0601131128906,1954.6237839771463,1438.5636708642558,40,13
557,6.790266882678319,1522.1530839231834,2387.9555455485006,865.8024616253172,40,13
558,6.800318945149135,1354.9014555094911,2305.272744568586,950.3712890590948,40,13
559,6.810371007619952,896.5273084962288,2121.049551647129,1224.5222431509005,40,13
560,6.820423070090769,686.9988432677625,1857.562548409394,1170.5637051416315,40,13
561,6.830475132561586,699.7930999422905,1816.2154618633015,1116.422361921011,40,13
562,6.8405271950324025,774.0467843441401,1749.7873731386517,975.7405887945116,40,13
563,6.8505792575032185,669.1254696743448,1798.988863390304,1129.8633937159593,40,13
564,6.860631319974035,611.6009226793136,1886.375086100077,1274.7741634207632,40,13
